  Number of Firms in Portfolios,,,,,,
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,1110,1718,2833,819,1090,817
199008,1109,1715,2819,819,1090,817
199009,1107,1714,2818,818,1090,816
199010,1106,1711,2810,817,1089,815
199011,1102,1708,2791,816,1088,814
199012,1101,1703,2778,816,1087,813
199101,1099,1699,2768,815,1087,812
199102,1096,1696,2757,815,1087,811
199103,1094,1690,2755,815,1087,810
199104,1092,1688,2743,815,1085,809
199105,1091,1681,2726,815,1085,808
199106,1090,1678,2713,814,1082,808
199107,1230,1992,3844,842,1124,843
199108,1229,1988,3835,841,1119,843
199109,1224,1987,3824,841,1117,842
199110,1221,1983,3794,841,1117,842
199111,1218,1981,3767,840,1117,841
199112,1215,1975,3751,840,1117,841
199201,1213,1969,3748,839,1115,839
199202,1211,1967,3736,839,1115,839
199203,1209,1964,3722,839,1115,839
199204,1207,1962,3715,838,1113,839
199205,1206,1958,3704,837,1113,838
199206,1204,1956,3689,835,1112,838
199207,1587,2327,4031,904,1208,907
199208,1584,2324,4022,904,1208,903
199209,1583,2320,4014,904,1207,903
199210,1578,2315,4004,903,1207,902
199211,1574,2313,3996,903,1206,902
199212,1571,2312,3987,903,1206,902
199301,1564,2307,3983,902,1205,899
199302,1564,2305,3977,902,1205,898
199303,1561,2303,3972,902,1205,898
199304,1559,2302,3966,902,1205,897
199305,1555,2300,3953,901,1205,895
199306,1554,2296,3948,899,1205,892
199307,1732,2339,4808,954,1274,955
199308,1729,2334,4794,954,1274,955
199309,1725,2329,4784,954,1274,954
199310,1723,2329,4781,954,1274,953
199311,1720,2326,4771,951,1273,952
199312,1720,2318,4755,949,1273,950
199401,1715,2316,4746,947,1272,947
199402,1713,2313,4734,947,1272,945
199403,1711,2310,4724,947,1271,943
199404,1711,2306,4710,945,1269,942
199405,1710,2302,4691,944,1269,941
199406,1703,2299,4682,942,1268,939
199407,2098,2742,4790,1059,1412,1059
199408,2096,2736,4778,1059,1411,1059
199409,2092,2731,4762,1057,1408,1059
199410,2087,2725,4751,1057,1403,1057
199411,2084,2719,4731,1057,1400,1057
199412,2081,2714,4712,1055,1400,1057
199501,2071,2704,4699,1053,1397,1052
199502,2064,2698,4683,1051,1396,1050
199503,2060,2690,4665,1050,1395,1049
199504,2057,2681,4643,1048,1389,1047
199505,2049,2676,4632,1046,1387,1045
199506,2045,2666,4617,1044,1386,1043
199507,2363,3177,5378,1072,1430,1071
199508,2358,3167,5351,1069,1427,1070
199509,2350,3160,5333,1065,1425,1069
199510,2344,3147,5316,1064,1420,1067
199511,2337,3136,5290,1063,1418,1063
199512,2335,3123,5270,1061,1413,1058
199601,2324,3111,5239,1056,1410,1055
199602,2315,3102,5207,1052,1404,1049
199603,2309,3095,5185,1048,1401,1047
199604,2300,3089,5160,1046,1397,1042
199605,2292,3084,5137,1043,1392,1039
199606,2284,3072,5117,1041,1389,1038
199607,2369,3191,6028,1125,1504,1128
199608,2366,3181,6005,1119,1498,1127
199609,2359,3166,5972,1108,1492,1125
199610,2351,3155,5940,1107,1487,1123
199611,2340,3148,5911,1105,1485,1120
199612,2333,3136,5886,1105,1480,1120
199701,2329,3115,5849,1099,1470,1116
199702,2319,3099,5825,1095,1467,1113
199703,2309,3084,5797,1094,1466,1112
199704,2300,3073,5768,1092,1463,1111
199705,2291,3062,5748,1087,1456,1109
199706,2282,3046,5724,1083,1453,1105
199707,2620,3533,6690,1038,1380,1039
199708,2610,3519,6651,1035,1373,1034
199709,2597,3506,6618,1032,1366,1027
199710,2587,3492,6575,1031,1360,1025
199711,2583,3468,6527,1027,1357,1020
199712,2572,3451,6496,1026,1354,1017
199801,2556,3423,6442,1021,1348,1013
199802,2549,3406,6405,1016,1342,1009
199803,2530,3390,6356,1014,1339,1003
199804,2515,3370,6314,1007,1333,1001
199805,2503,3347,6281,1005,1329,997
199806,2490,3328,6237,1004,1325,991
199807,2280,3389,8042,870,1157,870
199808,2269,3364,7988,869,1151,866
199809,2255,3345,7935,866,1147,859
199810,2236,3325,7860,864,1138,855
199811,2221,3312,7801,863,1123,853
199812,2203,3300,7748,860,1117,847
199901,2190,3270,7678,856,1105,839
199902,2174,3249,7634,852,1102,837
199903,2165,3225,7579,849,1098,835
199904,2149,3194,7508,847,1094,831
199905,2138,3179,7455,846,1089,823
199906,2128,3149,7412,843,1086,819
199907,1770,3159,9104,752,1001,751
199908,1754,3125,9026,749,996,744
199909,1740,3101,8953,745,992,740
199910,1723,3082,8875,743,988,737
199911,1716,3052,8810,740,982,737
199912,1699,3024,8730,738,975,732
200001,1694,3003,8657,733,968,728
200002,1682,2988,8599,730,964,725
200003,1672,2963,8535,729,960,723
200004,1660,2932,8470,726,956,719
200005,1645,2917,8414,725,949,716
200006,1632,2892,8359,720,944,710
200007,1967,3260,9035,715,952,717
200008,1955,3243,8967,711,944,711
200009,1942,3229,8899,706,937,704
200010,1928,3204,8815,701,927,700
200011,1924,3184,8739,695,923,695
200012,1914,3163,8666,693,917,687
200101,1902,3137,8604,689,913,678
200102,1891,3114,8534,687,911,674
200103,1886,3100,8463,686,908,670
200104,1878,3079,8373,681,900,664
200105,1866,3061,8308,680,896,660
200106,1857,3045,8244,674,893,658
200107,2015,3138,9511,706,942,706
200108,2004,3113,9429,706,937,703
200109,1999,3102,9357,703,930,701
200110,1992,3087,9295,703,925,698
200111,1984,3074,9220,700,919,694
200112,1977,3062,9146,699,916,693
200201,1963,3040,9087,696,911,686
200202,1952,3031,9027,693,909,681
200203,1942,3015,8969,691,906,677
200204,1929,2996,8907,691,901,675
200205,1924,2980,8835,691,899,675
200206,1918,2961,8757,691,897,671
200207,2158,3219,8750,725,965,724
200208,2137,3201,8660,722,963,722
200209,2121,3176,8605,719,960,718
200210,2107,3154,8520,718,957,713
200211,2100,3132,8453,716,955,711
200212,2085,3122,8413,714,953,709
200301,2073,3101,8342,712,950,707
200302,2049,3088,8294,711,948,705
200303,2033,3079,8239,710,947,705
200304,2026,3061,8181,710,944,698
200305,2013,3045,8151,707,943,697
200306,2004,3036,8105,701,943,695
200307,1968,3425,8112,722,959,721
200308,1955,3407,8066,719,955,720
200309,1945,3393,8022,714,950,718
200310,1941,3382,7972,714,946,716
200311,1928,3370,7926,711,945,715
200312,1923,3361,7889,708,944,715
200401,1907,3341,7839,706,942,713
200402,1902,3326,7804,704,939,713
200403,1892,3313,7770,700,939,710
200404,1887,3303,7727,698,936,707
200405,1881,3285,7698,695,933,705
200406,1876,3270,7668,695,929,703
200407,2737,3484,6800,808,1078,808
200408,2721,3464,6752,803,1073,807
200409,2711,3449,6732,800,1065,804
200410,2703,3434,6702,800,1063,804
200411,2699,3423,6676,800,1054,803
200412,2639,3364,6552,799,1049,800
200501,2633,3358,6531,799,1048,799
200502,2629,3344,6498,798,1045,797
200503,2621,3338,6461,796,1044,796
200504,2613,3331,6435,795,1040,793
200505,2603,3319,6406,794,1036,791
200506,2592,3304,6371,790,1031,790
200507,2887,3647,6643,853,1138,853
200508,2868,3635,6613,846,1132,847
200509,2859,3623,6589,844,1125,845
200510,2846,3605,6553,838,1120,841
200511,2838,3591,6516,838,1116,841
200512,2829,3573,6481,836,1113,838
200601,2822,3563,6449,828,1108,830
200602,2810,3544,6427,826,1098,827
200603,2801,3530,6396,823,1095,823
200604,2789,3508,6359,820,1089,817
200605,2786,3493,6340,819,1086,815
200606,2763,3484,6314,817,1085,810
200607,2831,3970,6918,885,1179,887
200608,2814,3953,6884,881,1173,882
200609,2799,3935,6853,880,1168,879
200610,2791,3913,6805,880,1161,875
200611,2765,3892,6757,877,1156,874
200612,2756,3867,6723,873,1150,869
200701,2744,3843,6686,869,1144,867
200702,2733,3809,6640,867,1139,863
200703,2716,3791,6613,866,1137,863
200704,2698,3772,6574,863,1133,859
200705,2687,3756,6548,859,1131,854
200706,2673,3734,6502,854,1127,853
200707,3047,3718,7490,883,1175,880
200708,3037,3706,7436,882,1165,876
200709,3026,3690,7394,876,1161,870
200710,3011,3671,7352,873,1154,864
200711,2993,3643,7311,869,1150,861
200712,2970,3617,7271,864,1141,857
200801,2962,3600,7235,857,1139,852
200802,2954,3575,7205,855,1136,849
200803,2937,3558,7163,851,1129,849
200804,2925,3532,7117,850,1125,848
200805,2909,3518,7080,848,1121,843
200806,2887,3505,7037,845,1118,838
200807,2628,3949,8239,784,1046,784
200808,2616,3932,8204,781,1043,781
200809,2594,3919,8166,778,1042,777
200810,2581,3903,8115,777,1038,773
200811,2570,3877,8035,774,1035,770
200812,2562,3868,7987,770,1035,767
200901,2540,3843,7935,770,1030,765
200902,2525,3827,7905,769,1030,757
200903,2515,3811,7855,765,1030,753
200904,2501,3789,7795,762,1030,751
200905,2488,3774,7750,761,1027,750
200906,2474,3756,7705,761,1026,750
200907,2110,3703,8305,747,994,746
200908,2097,3690,8257,745,994,745
200909,2087,3673,8207,744,994,744
200910,2076,3659,8161,741,991,742
200911,2064,3641,8113,738,986,738
200912,2057,3627,8070,736,985,736
201001,2047,3608,8006,733,983,734
201002,2035,3592,7966,732,983,733
201003,2027,3579,7929,731,980,733
201004,2020,3568,7887,729,975,728
201005,2013,3550,7851,728,973,725
201006,2006,3541,7822,727,971,724
201007,2408,3440,7543,765,1020,766
201008,2394,3418,7503,763,1015,764
201009,2387,3402,7473,763,1013,762
201010,2347,3368,7379,759,1009,761
201011,2334,3361,7348,758,1005,760
201012,2328,3357,7303,756,1003,758
201101,2317,3343,7250,756,1002,755
201102,2304,3328,7224,755,998,753
201103,2295,3315,7196,755,996,751
201104,2285,3304,7151,751,994,749
201105,2272,3290,7119,750,992,748
201106,2263,3270,7090,748,989,746
201107,2453,3776,7222,760,1007,760
201108,2443,3762,7191,757,1005,758
201109,2435,3749,7163,756,1004,754
201110,2427,3738,7129,755,1000,754
201111,2419,3720,7097,754,998,753
201112,2410,3698,7066,753,996,751
201201,2403,3681,7035,749,993,748
201202,2387,3655,6993,748,992,747
201203,2374,3639,6973,746,989,747
201204,2365,3623,6930,744,989,741
201205,2365,3613,6908,742,987,741
201206,2352,3600,6878,742,986,740
201207,2338,3535,7507,713,947,712
201208,2327,3525,7466,712,943,711
201209,2319,3509,7434,710,941,710
201210,2315,3501,7391,709,938,710
201211,2303,3485,7366,706,938,710
201212,2299,3473,7315,705,937,710
201301,2285,3453,7276,704,935,708
201302,2279,3445,7251,704,933,708
201303,2270,3433,7229,703,930,706
201304,2256,3417,7195,701,930,704
201305,2252,3407,7169,701,930,702
201306,2244,3393,7142,700,928,697
201307,2253,3482,7326,695,928,695
201308,2248,3469,7290,692,924,693
201309,2242,3460,7260,692,924,692
201310,2229,3448,7229,691,922,690
201311,2219,3432,7196,689,921,689
201312,2215,3419,7161,689,921,687
201401,2208,3408,7132,687,918,685
201402,2201,3398,7097,685,916,685
201403,2193,3383,7070,685,915,685
201404,2182,3371,7039,685,914,685
201405,2177,3360,7014,685,913,685
201406,2170,3347,6992,685,912,684
201407,2443,3465,7043,733,975,732
201408,2435,3452,7021,732,973,730
201409,2427,3440,6993,728,972,728
201410,2420,3430,6959,726,970,729
201411,2413,3415,6935,725,969,726
201412,2405,3401,6919,724,967,726
201501,2398,3387,6888,720,963,726
201502,2385,3382,6856,720,960,722
201503,2376,3367,6826,719,959,722
201504,2367,3354,6795,717,958,721
201505,2359,3339,6777,716,954,718
201506,2351,3329,6743,715,951,717
201507,2381,3572,7193,733,978,734
201508,2375,3560,7154,730,976,730
201509,2370,3549,7123,726,973,730
201510,2361,3542,7083,725,972,728
201511,2351,3533,7045,725,970,724
201512,2343,3521,7015,723,970,724
201601,2338,3503,6980,722,966,722
201602,2334,3492,6939,720,964,719
201603,2324,3480,6903,717,960,718
201604,2319,3463,6872,714,959,712
201605,2307,3455,6842,714,955,709
201606,2297,3443,6809,712,951,709
201607,2685,3558,6972,706,940,707
201608,2674,3537,6948,705,938,704
201609,2665,3525,6914,704,936,702
201610,2654,3506,6880,700,929,700
201611,2643,3491,6851,699,927,698
201612,2634,3475,6828,697,925,697
201701,2621,3458,6802,695,922,696
201702,2616,3444,6773,695,920,694
201703,2607,3430,6745,694,918,694
201704,2598,3420,6725,693,915,691
201705,2591,3407,6707,691,915,691
201706,2583,3394,6678,690,914,690
201707,3104,3642,6511,725,965,725
201708,3092,3631,6482,723,964,722
201709,3084,3624,6448,722,960,720
201710,3078,3614,6418,719,956,719
201711,3070,3602,6392,718,954,716
201712,3064,3592,6358,717,953,714
201801,3053,3586,6335,716,950,713
201802,3043,3576,6304,714,949,710
201803,3034,3563,6286,714,948,709
201804,3024,3553,6258,712,946,705
201805,3015,3545,6233,710,945,705
201806,3005,3532,6210,710,942,705
201807,3241,3801,6521,734,978,734
201808,3237,3789,6499,731,975,732
201809,3219,3779,6480,730,974,732
201810,3214,3770,6452,727,973,730
201811,3205,3758,6422,726,972,728
201812,3195,3742,6393,724,968,723
201901,3187,3730,6355,723,967,723
201902,3176,3722,6340,723,963,721
201903,3168,3712,6319,721,962,721
201904,3162,3698,6293,719,958,720
201905,3154,3684,6265,718,955,718
201906,3141,3675,6238,717,954,717
201907,2844,4166,6956,658,878,658
201908,2831,4156,6922,655,875,657
201909,2821,4141,6895,655,873,657
201910,2814,4130,6861,653,873,656
201911,2803,4109,6831,651,873,656
201912,2798,4102,6808,650,872,656
202001,2786,4087,6773,650,870,653
202002,2779,4064,6741,649,868,652
202003,2771,4051,6713,647,868,650
202004,2762,4041,6682,646,867,649
202005,2757,4028,6657,646,863,648
202006,2748,4020,6621,645,862,646
202007,2280,4320,7508,601,805,600
202008,2278,4310,7466,601,803,597
202009,2271,4304,7438,601,802,596
202010,2262,4295,7407,601,802,596
202011,2256,4278,7376,600,799,593
202012,2250,4268,7340,596,796,591
202101,2246,4255,7316,594,795,590
202102,2240,4246,7294,594,794,585
202103,2234,4230,7274,594,792,585
202104,2229,4214,7252,594,792,585
202105,2225,4201,7222,591,790,584
202106,2221,4186,7201,590,789,583
202107,2405,4899,6966,659,882,659
202108,2398,4886,6922,658,880,657
202109,2390,4863,6875,656,879,656
202110,2386,4848,6837,655,878,656
202111,2378,4835,6811,655,875,655
202112,2371,4817,6789,654,874,654
202201,2366,4801,6765,654,872,652
202202,2357,4791,6738,653,870,650
202203,2346,4780,6712,651,867,648
202204,2341,4762,6682,649,867,648
202205,2335,4749,6661,649,867,646
202206,2321,4727,6637,647,866,646
202207,3035,5409,6959,615,821,616
202208,3029,5390,6934,611,819,615
202209,3020,5363,6900,609,818,615
202210,3013,5345,6865,607,816,614
202211,3003,5337,6829,606,813,611
