  Average Value Weighted Returns -- Monthly,,,,,,
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007,2.43,1.91,0.97,0.64,1.68,1.39
199008,-12.22,-11.49,-10.55,-9.51,-10,-10.21
199009,-10.82,-10.01,-9.38,-11.77,-10.79,-11.6
199010,5.2,3.5,0.54,13.04,10.2,8.74
199011,-3.11,-1.05,-0.86,-3.45,-2.42,-3.45
199012,1.24,0.77,1.09,3.08,1.96,0.28
199101,0.95,1.35,2.08,3.8,2.56,3.61
199102,12.74,11.48,11.34,8.92,8.89,10.37
199103,1.42,0.01,1.31,-1.38,-2.33,-3.38
199104,0.64,0.94,1.37,0.69,1.35,0.88
199105,0.53,1.2,0.77,1.2,1.35,1.59
199106,-5.2,-4.48,-3.91,-6.25,-6,-5.3
199107,2.77,2.42,2.29,4.49,4.14,4.22
199108,-0.82,-0.44,-0.29,-0.06,-0.84,-1.74
199109,3.93,4.49,2.83,2.7,3.44,3.62
199110,2.49,1.25,1.2,2.97,1.31,1.42
199111,-3.57,-4.08,-4.34,-3.93,-4.74,-5.86
199112,6.23,4.23,4.25,9.18,5.88,5.71
199201,1.1,1.33,3.48,-3.43,-2.64,0.35
199202,-0.44,0.18,1.96,-2.17,-2.18,-0.82
199203,-6.65,-4.04,-2.6,-6.1,-4.41,-5.06
199204,-2.55,-1.01,-0.27,-1.38,1.03,2.38
199205,4.08,4.19,5.3,4.35,4.24,4.46
199206,-3.64,-2.95,-2.64,-4.14,-3.03,-3.03
199207,-2.63,-2.52,-2.39,1.01,0.11,-1.96
199208,-0.3,0.54,0.08,4.77,2.51,1.14
199209,-0.7,-1.16,-1.96,-1.11,-0.66,-1.78
199210,-2.93,-3.05,-3.16,-1.81,-3.76,-2.59
199211,3.23,1.79,1.13,3.25,1.11,1.78
199212,1.71,2.32,2.7,0.13,1.5,1.09
199301,0.85,1.94,3.8,-1.13,0.51,2.44
199302,-0.91,0.94,3.22,0.1,3.92,3.06
199303,7.17,7.17,7.86,5.29,7.56,8.29
199304,4.87,4.95,6.28,2.54,4.85,6.93
199305,7.62,6.95,6.9,4.15,2.39,1.87
199306,-2.78,-2.79,-2.31,-1.92,-1.72,-1.55
199307,0.86,0.99,1.8,1.8,2.89,3.59
199308,4.74,5.56,6.01,4.1,4.55,5.09
199309,-0.3,0.19,-0.25,-2.24,-1.86,-1.72
199310,1.34,0.52,1.11,2.2,1.03,0.72
199311,-5.28,-4.36,-4.48,-6.02,-5.87,-7.03
199312,3.99,4.5,5.63,3.03,4.55,5.85
199401,6.74,7.55,9.74,6.15,7.59,9.5
199402,-0.31,0.64,0.54,-1.19,-1.18,-0.98
199403,-3.83,-2.52,-1.93,-4.24,-3.5,-2.43
199404,1.45,2.43,3.63,2.62,2.46,2.93
199405,-1.62,-1.5,-0.19,-0.13,0.01,1.11
199406,-0.89,-0.53,0.71,-0.17,0.74,0.8
199407,0.6,1.21,1.1,0.66,2.15,1.54
199408,3.83,2.46,1.26,3.23,2.18,1.95
